time,cpu,mem,storage
1686840380,16.70,82,1642
1686840381,22.30,82,1642
1686840383,22.30,82,1642
1686840384,27.90,82,1642
1686840385,27.90,82,1642
1686840387,23.60,82,1642
1686840388,23.50,82,1642
1686840389,17.70,82,1642
1686840390,11.80,82,1642
1686840392,21.10,82,1642
1686840393,16.70,82,1642
1686840394,11.20,82,1642
1686840396,22.30,82,1642
1686840397,17.70,82,1642
1686840398,23.50,82,1642
1686840399,29.40,82,1642
1686840401,11.80,82,1642
1686840402,16.70,82,1642
1686840403,23.50,82,1642
1686840404,23.50,82,1642
1686840406,17.70,82,1642
1686840407,21.10,82,1642
1686840408,27.90,82,1642
1686840410,22.30,82,1642
1686840411,16.70,82,1642
1686840412,16.70,82,1642
1686840413,26.40,82,1642
1686840415,26.40,82,1642
1686840416,26.40,82,1642
1686840417,17.70,82,1642
1686840418,23.50,82,1642
1686840420,17.60,82,1642
1686840421,27.90,82,1642
1686840422,23.50,82,1642
1686840424,23.50,82,1642
1686840425,35.30,82,1642
1686840426,39.00,82,1642
1686840427,23.60,82,1642
1686840429,16.70,82,1642
1686840430,16.70,82,1642
1686840431,22.30,82,1642
1686840432,33.50,82,1642
1686840434,27.90,82,1642
1686840435,17.70,82,1642
1686840436,22.30,82,1642
1686840438,26.40,82,1642
1686840439,21.10,82,1642
1686840440,23.60,82,1642
1686840441,23.50,82,1642
1686840443,11.10,82,1642
1686840444,27.90,82,1642
1686840445,11.80,82,1642
1686840447,16.70,82,1642
1686840448,29.40,83,1642
1686840449,17.70,83,1642
1686840450,17.70,82,1642
1686840452,21.10,82,1642
1686840453,22.30,82,1642
1686840454,22.30,82,1642
1686840455,16.70,82,1642
1686840457,15.80,82,1642
1686840458,22.30,82,1642
1686840459,22.30,82,1642
1686840461,22.30,82,1642
1686840462,26.40,82,1642
1686840463,11.80,82,1642
1686840464,23.50,82,1642
1686840466,17.70,82,1642
1686840467,26.40,82,1642
1686840468,16.70,82,1642
1686840469,22.30,82,1642
1686840471,17.70,82,1642
1686840472,16.70,82,1642
1686840473,23.50,82,1642
1686840475,11.80,82,1642
1686840476,23.50,82,1642
1686840477,16.70,82,1642
1686840478,16.70,82,1642
1686840480,23.50,82,1642
1686840481,23.50,82,1642
1686840482,11.10,82,1642
1686840483,29.40,82,1642
1686840485,23.50,82,1642
1686840486,39.10,82,1642
1686840487,22.30,82,1642
1686840489,16.70,82,1642
1686840490,22.30,82,1642
1686840491,22.30,82,1642
1686840492,23.50,82,1642
1686840494,23.50,82,1642
1686840495,17.70,82,1642
1686840496,27.80,82,1642
1686840497,27.80,82,1642
1686840499,17.60,82,1642
1686840500,23.50,82,1642
1686840501,15.80,82,1642
1686840503,27.80,82,1642
1686840504,21.10,82,1642
1686840505,29.40,82,1642
1686840506,22.30,82,1642
1686840508,23.50,82,1642
1686840509,27.90,82,1642
1686840510,11.10,83,1642
1686840511,23.60,83,1642
1686840513,17.70,82,1642
1686840514,15.80,83,1642
1686840515,16.70,83,1642
1686840517,16.70,83,1642
1686840518,22.20,82,1642
1686840519,27.90,82,1642
1686840520,17.70,82,1642
1686840522,27.90,82,1642
1686840523,16.70,82,1642
1686840524,22.30,82,1642
1686840525,11.80,82,1642
1686840527,11.20,82,1642
1686840528,16.70,82,1642
1686840529,16.70,82,1642
1686840531,23.50,82,1642
1686840532,33.50,82,1642
1686840533,16.70,82,1642
1686840534,23.60,82,1642
1686840536,17.70,82,1642
1686840537,16.70,82,1642
1686840538,23.50,82,1642
1686840539,16.70,82,1642
1686840541,21.10,82,1642
1686840542,17.60,82,1642
1686840543,22.30,82,1642
1686840545,22.30,82,1642
1686840546,33.40,82,1642
1686840547,11.80,82,1642
1686840548,17.70,82,1642
1686840550,17.70,82,1642
1686840551,11.80,82,1642
1686840552,23.60,82,1642
1686840553,23.60,82,1642
1686840555,11.80,82,1642
1686840556,23.50,82,1642
1686840557,22.30,82,1642
1686840558,17.60,81,1642
1686840560,22.30,82,1642
1686840561,22.30,82,1642
1686840562,27.90,82,1642
1686840564,35.30,82,1642
1686840565,17.70,82,1642
1686840566,22.30,82,1642
1686840567,27.90,82,1642
1686840569,22.30,82,1642
1686840570,33.50,82,1642
1686840571,11.10,82,1642
1686840572,22.30,82,1642
1686840574,22.30,82,1642
1686840575,22.30,82,1642
1686840576,29.40,82,1642
1686840578,22.30,82,1642
1686840579,15.80,82,1642
1686840580,16.70,81,1642
1686840581,10.50,82,1642
1686840583,23.50,82,1642
1686840584,17.70,82,1642
1686840585,22.30,82,1642
1686840586,22.30,82,1642
1686840588,27.90,82,1642
1686840589,21.10,82,1642
1686840590,16.70,82,1642
1686840592,21.10,82,1642
1686840593,16.70,82,1642
1686840594,22.30,82,1642
1686840595,17.70,81,1642
1686840597,23.50,81,1642
1686840598,16.70,81,1642
1686840599,16.70,82,1642
1686840600,22.30,82,1642
1686840602,23.50,82,1642
1686840603,17.70,82,1642
1686840604,17.70,82,1642
1686840606,17.70,82,1642
1686840607,16.70,82,1642
1686840608,17.60,82,1642
1686840609,35.30,82,1642
1686840611,29.40,82,1642
1686840612,22.30,82,1642
1686840613,17.70,82,1642
1686840614,22.30,82,1642
1686840616,17.70,82,1642
1686840617,22.30,82,1642
1686840618,22.30,82,1642
1686840620,29.40,82,1642
1686840621,23.50,82,1642
1686840622,17.70,82,1642
1686840623,16.70,82,1642
1686840625,27.90,82,1642
1686840626,22.30,82,1642
1686840627,11.10,82,1642
1686840628,16.70,82,1642
1686840630,17.60,82,1642
1686840631,11.10,82,1642
1686840632,27.90,82,1642
1686840634,17.70,82,1642
1686840635,27.90,82,1642
1686840636,27.90,82,1642
1686840637,16.70,82,1642
1686840639,16.70,82,1642
1686840640,16.70,82,1642
1686840641,29.40,82,1642
1686840642,23.50,82,1642
1686840644,22.30,82,1642
1686840645,23.50,82,1642
1686840646,23.50,82,1642
1686840648,17.70,82,1642
1686840649,23.50,82,1642
1686840650,11.80,82,1642
1686840651,16.70,82,1642
1686840653,16.70,82,1642
1686840654,17.60,82,1642
1686840655,17.70,82,1642
1686840656,16.70,82,1642
1686840658,16.70,82,1642
1686840659,17.60,82,1642
1686840660,29.40,82,1642
1686840661,17.70,82,1642
1686840663,16.70,82,1642
1686840664,11.80,82,1642
1686840665,16.70,82,1642
1686840667,15.80,82,1642
1686840668,27.90,82,1642
1686840669,23.60,82,1642
1686840670,21.10,82,1642
1686840672,16.70,82,1642
1686840673,23.50,82,1642
1686840674,22.30,82,1642
1686840676,16.70,82,1642
1686840677,22.30,82,1642
1686840678,23.50,82,1642
1686840679,23.60,82,1642
1686840681,23.50,82,1642
1686840682,22.30,82,1642
1686840683,22.30,82,1642
1686840684,23.50,82,1642
1686840686,23.50,82,1642
1686840687,23.60,82,1642
1686840688,22.30,82,1642
1686840690,16.70,82,1642
1686840691,17.70,82,1642
1686840692,22.30,82,1642
1686840693,16.80,82,1642
1686840695,22.30,82,1642
1686840696,23.50,82,1642
1686840697,17.60,82,1642
1686840698,27.90,82,1642
1686840700,27.90,82,1642
1686840701,17.70,82,1642
1686840702,17.70,82,1642
1686840703,17.70,82,1642
1686840705,29.40,82,1642
1686840706,22.30,81,1642
1686840707,22.30,82,1642
1686840709,22.30,82,1642
1686840710,17.60,82,1642
1686840711,17.70,82,1642
1686840712,23.60,82,1642
1686840714,23.60,82,1642
1686840715,23.60,82,1642
1686840716,16.70,82,1642
1686840717,11.10,82,1642
1686840719,27.90,82,1642
1686840720,23.50,82,1642
1686840721,29.40,82,1642
1686840723,35.30,82,1642
1686840724,22.30,82,1642
1686840725,23.50,82,1642
1686840726,23.50,82,1642
1686840728,17.70,82,1642
1686840729,22.30,82,1642
1686840730,22.20,82,1642
1686840731,23.50,82,1642
1686840733,11.80,82,1642
1686840734,27.90,82,1642
1686840735,27.90,82,1642
1686840737,16.70,82,1642
1686840738,22.30,82,1642
1686840739,16.70,82,1642
1686840740,23.50,82,1642
1686840742,17.60,82,1642
1686840743,16.70,81,1642
1686840744,22.30,82,1642
1686840745,23.50,82,1642
1686840747,22.30,82,1642
1686840748,17.70,82,1642
1686840749,17.70,82,1642
1686840751,27.90,82,1642
1686840752,17.70,82,1642
1686840753,16.70,82,1642
1686840754,23.50,82,1642
1686840756,17.70,82,1642
1686840757,23.50,82,1642
1686840758,27.90,82,1642
1686840759,22.30,82,1642
1686840761,10.50,82,1642
1686840762,17.70,82,1642
1686840763,22.30,82,1642
1686840765,16.70,82,1642
1686840766,22.30,82,1642
1686840767,23.50,82,1642
1686840768,11.20,82,1642
1686840770,22.30,82,1642
1686840771,23.60,82,1642
1686840772,17.60,82,1642
1686840773,23.60,82,1642
1686840775,23.50,82,1642
1686840776,11.80,82,1642
1686840777,11.80,82,1642
1686840779,27.90,82,1642
1686840780,16.70,82,1642
1686840781,27.90,82,1642
1686840782,27.90,82,1642
1686840784,17.60,82,1642
1686840785,23.50,82,1642
1686840786,16.70,82,1642
1686840787,16.70,82,1642
1686840789,16.70,82,1642
1686840790,16.70,82,1642
1686840791,33.50,82,1642
1686840793,11.10,82,1642
1686840794,11.80,82,1642
1686840795,27.90,82,1642
1686840796,35.30,82,1642
1686840798,22.30,82,1642
1686840799,35.30,82,1642
