time,cpu,mem,storage
1686844582,15.80,155,3239
1686844583,22.30,155,3239
1686844584,16.70,155,3239
1686844585,33.50,155,3239
1686844587,52.90,155,3239
1686844588,29.40,155,3239
1686844589,29.50,155,3239
1686844590,35.30,155,3239
1686844592,16.70,155,3239
1686844593,55.80,155,3239
1686844594,26.40,155,3239
1686844596,22.30,155,3239
1686844597,22.30,155,3239
1686844598,22.30,155,3239
1686844599,33.50,155,3239
1686844601,23.60,155,3239
1686844602,23.50,155,3239
1686844603,39.00,155,3239
1686844604,35.30,155,3239
1686844606,27.90,155,3239
1686844607,23.50,155,3239
1686844608,23.60,155,3239
1686844609,27.90,155,3239
1686844611,22.30,155,3239
1686844612,35.30,155,3239
1686844613,23.50,155,3239
1686844615,27.90,155,3239
1686844616,22.30,155,3239
1686844617,47.10,155,3239
1686844618,27.90,155,3239
1686844620,29.40,155,3239
1686844621,22.20,155,3239
1686844622,44.60,155,3239
1686844623,44.50,155,3239
1686844625,22.20,155,3239
1686844626,33.50,155,3239
1686844627,41.20,155,3239
1686844629,27.80,155,3239
1686844630,39.10,155,3239
1686844631,58.80,155,3239
1686844632,122.30,155,3239
1686844634,31.70,155,3239
1686844635,16.70,155,3239
1686844636,39.10,156,3239
1686844637,22.30,155,3239
1686844639,27.90,156,3239
1686844640,22.30,155,3239
1686844641,64.80,156,3239
1686844643,27.90,156,3239
1686844644,22.30,156,3239
1686844645,52.90,155,3239
1686844646,27.90,155,3239
1686844648,39.00,154,3239
1686844649,15.80,154,3239
1686844650,27.90,154,3239
1686844651,53.00,154,3239
1686844653,11.80,154,3239
1686844654,27.80,154,3239
1686844655,29.40,155,3239
1686844657,22.30,154,3239
1686844658,33.40,154,3239
1686844659,55.80,154,3239
1686844660,23.50,155,3239
1686844662,41.20,155,3239
1686844663,33.40,154,3239
1686844664,22.30,154,3239
1686844665,16.70,154,3239
1686844667,41.20,154,3239
1686844668,22.30,154,3239
1686844669,17.70,154,3239
1686844671,27.80,154,3239
1686844672,27.80,154,3239
1686844673,33.40,154,3239
1686844674,21.10,154,3239
1686844676,22.20,154,3239
1686844677,50.20,154,3239
1686844678,23.50,154,3239
1686844680,33.50,154,3239
1686844681,22.30,154,3239
1686844682,39.00,154,3239
1686844683,35.30,154,3239
1686844685,29.40,155,3239
1686844686,29.40,155,3239
1686844687,33.50,154,3239
1686844688,35.30,154,3239
1686844690,50.20,154,3239
1686844691,47.30,154,3239
1686844692,61.20,154,3239
1686844694,11.80,155,3239
1686844695,22.30,155,3239
1686844696,64.70,155,3239
1686844697,29.40,154,3239
1686844699,16.70,155,3239
1686844700,33.50,155,3239
1686844701,33.40,155,3239
1686844702,33.50,155,3239
1686844704,39.10,155,3239
1686844705,41.20,155,3239
1686844706,22.30,155,3239
1686844708,23.60,155,3239
1686844709,22.30,155,3239
1686844710,22.30,155,3239
1686844711,23.50,155,3239
1686844713,27.90,154,3239
1686844714,33.50,154,3239
1686844715,23.50,154,3239
1686844716,41.20,154,3239
1686844718,22.30,154,3239
1686844719,47.00,154,3239
1686844720,27.80,154,3239
1686844722,27.90,154,3239
1686844723,22.30,154,3239
1686844724,16.70,154,3239
1686844725,35.30,154,3239
1686844727,27.90,154,3239
1686844728,17.70,154,3239
1686844729,23.50,154,3239
1686844730,29.40,154,3239
1686844732,39.00,155,3239
1686844733,44.50,154,3239
1686844734,27.90,155,3239
1686844736,17.60,155,3239
1686844737,39.00,155,3239
1686844738,11.80,155,3239
1686844739,23.50,155,3239
1686844741,22.30,155,3239
1686844742,72.50,154,3239
1686844743,27.90,154,3239
1686844744,29.50,155,3239
1686844746,21.10,154,3239
1686844747,72.30,154,3239
1686844748,21.10,155,3239
1686844750,33.50,154,3239
1686844751,41.30,155,3239
1686844752,35.30,155,3239
1686844753,39.00,155,3239
1686844755,37.00,155,3239
1686844756,23.60,155,3239
1686844757,35.30,154,3239
1686844758,27.90,154,3239
1686844760,33.50,154,3239
1686844761,47.50,154,3239
1686844762,37.00,154,3239
1686844764,23.50,154,3239
1686844765,23.50,154,3239
1686844766,21.10,154,3239
1686844767,29.40,154,3239
1686844769,26.40,152,3239
1686844770,16.70,152,3239
1686844771,27.90,152,3239
1686844772,16.70,152,3239
1686844774,27.80,152,3239
1686844775,50.20,152,3239
1686844776,22.30,152,3239
1686844778,27.90,153,3239
1686844779,53.10,152,3239
1686844780,29.40,152,3239
1686844781,27.90,153,3239
1686844783,33.50,153,3239
1686844784,16.70,153,3239
1686844785,22.30,152,3239
1686844786,23.60,152,3239
1686844788,22.30,152,3239
1686844789,47.10,152,3239
1686844790,17.70,152,3239
1686844792,22.30,152,3239
1686844793,29.40,152,3239
1686844794,16.70,151,3239
1686844795,27.90,152,3239
1686844797,23.50,152,3239
1686844798,41.30,152,3239
1686844799,22.30,152,3239
1686844800,29.40,152,3239
1686844802,23.60,151,3239
1686844803,35.40,152,3239
1686844804,27.90,152,3239
1686844806,16.70,152,3239
1686844807,27.90,152,3239
1686844808,44.70,152,3239
1686844809,27.90,152,3239
1686844811,55.70,152,3239
1686844812,41.10,152,3239
1686844813,44.50,152,3239
1686844814,33.40,152,3239
1686844816,21.10,152,3239
1686844817,33.50,152,3239
1686844818,29.40,152,3239
1686844819,33.50,152,3239
1686844821,22.30,152,3239
1686844822,33.50,152,3239
1686844823,23.50,152,3239
1686844825,29.40,152,3239
1686844826,21.10,152,3239
1686844827,39.00,152,3239
1686844828,11.80,152,3239
1686844830,21.10,152,3239
1686844831,35.30,152,3239
1686844832,50.10,152,3239
1686844834,15.80,152,3239
1686844835,29.40,152,3239
1686844836,23.60,152,3239
1686844837,41.20,152,3239
1686844839,29.40,152,3239
1686844840,17.60,152,3239
1686844841,44.50,152,3239
1686844842,94.20,152,3239
1686844844,15.80,152,3239
1686844845,35.30,152,3239
1686844846,26.40,152,3239
1686844847,41.20,152,3239
1686844849,22.30,152,3239
1686844850,33.40,152,3239
1686844851,26.40,152,3239
1686844853,27.90,152,3239
1686844854,27.90,152,3239
1686844855,39.00,152,3239
1686844856,21.10,152,3239
1686844858,39.10,152,3239
1686844859,31.70,152,3239
1686844860,17.70,152,3239
1686844862,22.30,152,3239
1686844863,41.20,152,3239
1686844864,22.30,152,3239
1686844865,35.30,152,3239
1686844867,23.50,152,3239
1686844868,23.50,152,3239
1686844869,16.70,152,3239
1686844870,29.40,152,3239
1686844872,23.50,152,3239
1686844873,39.00,152,3239
1686844874,16.70,152,3239
1686844876,26.30,152,3239
1686844877,29.50,152,3239
1686844878,27.90,152,3239
1686844879,16.70,152,3239
1686844881,27.90,152,3239
1686844882,58.80,151,3239
1686844883,16.70,151,3239
1686844884,31.70,151,3239
1686844886,33.50,152,3239
1686844887,35.40,152,3239
1686844888,35.40,152,3239
1686844889,27.90,151,3239
1686844891,27.90,151,3239
1686844892,27.90,151,3239
1686844893,23.50,151,3239
1686844895,16.70,151,3239
1686844896,16.80,151,3239
1686844897,42.20,151,3239
1686844898,35.40,151,3239
1686844900,47.10,151,3239
1686844901,31.70,151,3239
1686844902,33.50,152,3239
1686844903,41.20,152,3239
1686844905,27.90,151,3239
1686844906,23.60,151,3239
1686844907,27.90,151,3239
1686844909,22.30,151,3239
1686844910,27.90,151,3239
1686844911,64.70,151,3239
1686844912,27.90,151,3239
1686844914,23.60,151,3239
1686844915,27.80,152,3239
1686844916,17.70,151,3239
1686844917,22.30,151,3239
1686844919,22.30,151,3239
1686844920,29.40,152,3239
1686844921,33.50,152,3239
1686844923,17.70,151,3239
1686844924,29.50,151,3239
1686844925,50.10,151,3239
1686844926,39.10,151,3239
1686844928,17.70,151,3239
1686844929,35.30,151,3239
1686844930,39.10,151,3239
1686844931,17.70,151,3239
1686844933,27.80,151,3239
1686844934,39.10,151,3239
1686844935,15.80,151,3239
1686844937,33.40,151,3239
1686844938,23.60,152,3239
1686844939,53.00,152,3239
1686844940,29.40,152,3239
1686844942,16.70,152,3239
1686844943,58.90,152,3239
1686844944,39.10,152,3239
1686844945,29.40,152,3239
1686844947,23.50,152,3239
1686844948,26.40,152,3239
1686844949,33.50,152,3239
1686844950,35.30,152,3239
1686844952,22.30,152,3239
1686844953,83.50,152,3239
1686844954,22.30,152,3239
1686844956,33.50,152,3239
1686844957,27.90,152,3239
1686844958,27.90,152,3239
1686844959,22.30,152,3239
1686844961,23.50,152,3239
1686844962,11.20,152,3239
1686844963,33.50,152,3239
1686844965,26.40,152,3239
1686844966,27.90,152,3239
1686844967,53.00,152,3239
1686844968,41.20,152,3239
1686844970,29.40,152,3239
1686844971,35.30,153,3239
1686844972,35.30,153,3239
1686844973,27.90,153,3239
1686844975,16.70,152,3239
1686844976,29.40,153,3239
1686844977,23.60,153,3239
1686844978,21.10,153,3239
1686844980,27.80,152,3239
1686844981,53.00,152,3239
1686844982,35.30,153,3239
1686844984,27.90,153,3239
1686844985,22.30,153,3239
1686844986,23.60,153,3239
1686844987,41.20,153,3239
1686844989,27.90,153,3239
1686844990,21.10,153,3239
1686844991,22.30,153,3239
1686844992,53.00,153,3239
1686844994,22.30,153,3239
1686844995,55.70,153,3239
1686844996,22.30,152,3239
1686844998,33.50,152,3239
1686844999,27.90,152,3239
1686845000,27.90,152,3239
1686845001,22.30,152,3239
1686845003,22.30,152,3239
1686845004,27.90,153,3239
1686845005,27.90,153,3239
1686845006,29.50,153,3239
1686845008,41.20,153,3239
1686845009,39.00,153,3239
1686845010,33.40,153,3239
1686845012,33.50,153,3239
1686845013,27.90,153,3239
1686845014,11.20,153,3239
1686845015,33.40,153,3239
1686845017,37.00,153,3239
1686845018,29.40,153,3239
1686845019,17.60,153,3239
1686845020,29.50,153,3239
1686845022,23.60,153,3239
1686845023,44.60,153,3239
1686845024,33.50,153,3239
1686845026,23.50,153,3239
1686845027,22.30,153,3239
1686845028,17.70,153,3239
1686845029,17.70,153,3239
1686845031,29.40,153,3239
1686845032,22.30,153,3239
1686845033,23.50,153,3239
1686845034,26.40,153,3239
1686845036,31.60,153,3239
1686845037,31.70,153,3239
1686845038,35.30,152,3239
1686845040,27.90,153,3239
1686845041,41.20,152,3239
1686845042,29.40,153,3239
1686845043,33.50,153,3239
1686845045,27.90,153,3239
1686845046,29.40,153,3239
1686845047,44.50,153,3239
1686845048,27.90,153,3239
1686845050,39.10,153,3239
1686845051,50.10,153,3239
1686845052,16.70,153,3239
1686845054,94.20,152,3239
1686845055,29.50,152,3239
1686845056,23.60,153,3239
1686845057,41.10,152,3239
1686845059,29.40,152,3239
1686845060,23.60,152,3239
1686845061,41.20,152,3239
1686845062,27.80,152,3239
1686845064,64.70,152,3239
1686845065,11.80,152,3239
1686845066,22.30,152,3239
1686845067,21.10,152,3239
1686845069,29.40,152,3239
1686845070,23.60,152,3239
1686845071,22.30,152,3239
1686845073,29.40,152,3239
1686845074,41.20,152,3239
1686845075,39.00,152,3239
1686845076,22.30,152,3239
1686845078,22.30,152,3239
1686845079,11.10,153,3239
1686845080,47.20,153,3239
1686845081,29.40,152,3239
1686845083,22.30,152,3239
1686845084,39.00,152,3239
1686845085,16.70,153,3239
1686845087,17.60,153,3239
1686845088,16.70,153,3239
1686845089,29.40,153,3239
1686845090,17.70,153,3239
1686845092,23.50,153,3239
1686845093,29.40,153,3239
1686845094,29.40,153,3239
1686845095,31.70,153,3239
1686845097,39.10,153,3239
1686845098,23.50,153,3239
1686845099,41.30,153,3239
1686845101,33.50,153,3239
1686845102,17.70,153,3239
1686845103,64.70,152,3239
1686845104,35.40,153,3239
1686845106,39.10,153,3239
1686845107,27.90,153,3239
1686845108,27.80,153,3239
1686845109,27.90,153,3239
1686845111,47.10,153,3239
1686845112,63.30,153,3239
1686845113,22.30,153,3239
1686845115,27.90,153,3239
1686845116,33.50,153,3239
1686845117,50.00,153,3239
1686845118,35.30,152,3239
1686845120,39.00,152,3239
1686845121,23.50,152,3239
1686845122,16.80,152,3239
1686845123,26.40,152,3239
1686845125,22.30,153,3239
1686845126,29.40,153,3239
1686845127,27.90,153,3239
1686845129,47.10,153,3239
1686845130,16.70,153,3239
1686845131,64.70,153,3239
1686845132,22.20,153,3239
1686845134,47.50,152,3239
1686845135,33.50,153,3239
1686845136,17.60,153,3239
1686845137,26.40,153,3239
1686845139,27.90,153,3239
1686845140,10.50,152,3239
1686845141,21.10,152,3239
1686845143,33.50,152,3239
1686845144,16.70,152,3239
1686845145,41.20,152,3239
1686845146,27.90,152,3239
1686845148,11.80,152,3239
1686845149,16.70,152,3239
1686845150,33.50,152,3239
1686845151,21.10,152,3239
1686845153,27.90,152,3239
1686845154,39.00,152,3239
1686845155,16.70,152,3239
1686845157,37.00,152,3239
1686845158,23.50,152,3239
1686845159,58.90,152,3239
1686845160,27.90,152,3239
1686845162,17.70,152,3239
1686845163,39.00,152,3239
1686845164,64.80,152,3239
1686845165,33.50,152,3239
1686845167,33.40,152,3239
1686845168,21.10,152,3239
1686845169,22.30,152,3239
1686845171,44.60,152,3239
1686845172,23.50,152,3239
1686845173,44.60,152,3239
1686845174,39.10,152,3239
1686845176,27.90,152,3239
1686845177,33.50,152,3239
1686845178,22.30,152,3239
1686845179,16.70,152,3239
1686845181,29.40,152,3239
