time,cpu,mem,storage
1686842980,22.30,129,2371
1686842982,39.00,129,2371
1686842983,58.80,129,2371
1686842984,23.50,129,2371
1686842986,35.30,130,2371
1686842987,23.60,129,2371
1686842988,27.90,129,2371
1686842989,33.50,129,2371
1686842991,29.40,129,2371
1686842992,23.60,129,2371
1686842993,27.90,129,2371
1686842994,53.00,129,2371
1686842996,21.10,129,2371
1686842997,16.70,129,2371
1686842998,33.50,129,2371
1686842999,29.40,129,2371
1686843001,39.10,129,2371
1686843002,29.40,129,2371
1686843003,23.60,129,2371
1686843005,39.00,129,2371
1686843006,11.10,129,2371
1686843007,55.80,129,2371
1686843008,33.50,129,2371
1686843010,29.50,129,2371
1686843011,31.70,129,2371
1686843012,29.50,129,2371
1686843013,16.70,129,2371
1686843015,16.70,129,2371
1686843016,39.10,129,2371
1686843017,29.40,129,2371
1686843019,16.70,129,2371
1686843020,33.50,129,2371
1686843021,27.80,129,2371
1686843022,35.30,129,2371
1686843024,27.90,129,2371
1686843025,17.70,129,2371
1686843026,22.30,129,2371
1686843027,33.50,129,2371
1686843029,33.40,129,2371
1686843030,17.60,129,2371
1686843031,47.00,129,2371
1686843032,35.40,129,2371
1686843034,29.50,129,2371
1686843035,58.80,129,2371
1686843036,35.30,129,2371
1686843038,39.10,129,2371
1686843039,33.50,129,2371
1686843040,23.50,129,2371
1686843041,33.50,129,2371
1686843043,22.30,129,2371
1686843044,17.70,129,2371
1686843045,29.40,129,2371
1686843046,17.70,129,2371
1686843048,29.40,129,2371
1686843049,29.50,129,2371
1686843050,35.40,129,2371
1686843051,41.20,129,2371
1686843053,29.50,129,2371
1686843054,22.30,129,2371
1686843055,23.60,129,2371
1686843057,21.10,129,2371
1686843058,27.90,129,2371
1686843059,41.20,129,2371
1686843060,23.60,129,2371
1686843062,35.30,129,2371
1686843063,17.70,129,2371
1686843064,22.40,129,2371
1686843065,26.40,129,2371
1686843067,39.00,129,2371
1686843068,23.50,129,2371
1686843069,35.30,129,2371
1686843071,53.00,129,2371
1686843072,17.70,129,2371
1686843073,47.00,129,2371
1686843074,27.90,129,2371
1686843076,16.70,129,2371
1686843077,11.80,129,2371
1686843078,35.30,129,2371
1686843079,22.30,129,2371
1686843081,29.40,129,2371
1686843082,23.50,129,2371
1686843083,23.50,129,2371
1686843084,16.80,129,2371
1686843086,27.90,129,2371
1686843087,39.00,129,2371
1686843088,22.30,129,2371
1686843090,29.40,129,2371
1686843091,44.50,129,2371
1686843092,27.90,129,2371
1686843093,22.30,129,2371
1686843095,27.90,129,2371
1686843096,47.10,129,2371
1686843097,35.30,129,2371
1686843098,33.50,129,2371
1686843100,17.70,129,2371
1686843101,47.10,129,2371
1686843102,16.70,129,2371
1686843103,33.50,129,2371
1686843105,22.30,129,2371
1686843106,23.50,129,2371
1686843107,27.80,129,2371
1686843109,33.50,129,2371
1686843110,23.50,129,2371
1686843111,58.90,129,2371
1686843112,29.40,129,2371
1686843114,23.60,129,2371
1686843115,58.80,129,2371
1686843116,22.30,129,2371
1686843117,35.30,129,2371
1686843119,33.40,129,2371
1686843120,17.70,129,2371
1686843121,22.30,129,2371
1686843122,33.50,129,2371
1686843124,22.30,129,2371
1686843125,83.40,129,2371
1686843126,22.30,129,2371
1686843128,29.40,129,2371
1686843129,15.80,129,2371
1686843130,11.10,130,2371
1686843131,29.40,129,2371
1686843133,17.70,129,2371
1686843134,41.20,129,2371
1686843135,41.30,129,2371
1686843136,11.80,129,2371
1686843138,39.00,129,2371
1686843139,27.90,129,2371
1686843140,27.90,129,2371
1686843141,41.20,129,2371
1686843143,17.60,129,2371
1686843144,23.60,129,2371
1686843145,29.40,129,2371
1686843146,22.30,129,2371
1686843148,16.70,129,2371
1686843149,44.60,129,2371
1686843150,41.30,129,2371
1686843152,35.40,129,2371
1686843153,29.50,129,2371
1686843154,27.90,129,2371
1686843155,22.30,129,2371
1686843157,17.70,129,2371
1686843158,17.70,129,2371
1686843159,17.70,129,2371
1686843160,27.90,129,2371
1686843162,16.70,129,2371
1686843163,44.60,129,2371
1686843164,35.30,129,2371
1686843166,17.70,129,2371
1686843167,17.70,129,2371
1686843168,26.40,129,2371
1686843169,27.90,129,2371
1686843171,27.90,129,2371
1686843172,35.40,129,2371
1686843173,33.50,129,2371
1686843174,23.60,129,2371
1686843176,27.90,129,2371
1686843177,27.90,129,2371
1686843178,26.40,129,2371
1686843179,41.20,129,2371
1686843181,23.60,129,2371
1686843182,17.70,129,2371
1686843183,11.20,129,2371
1686843185,33.50,129,2371
1686843186,17.70,129,2371
1686843187,44.50,129,2371
1686843188,23.60,129,2371
1686843190,35.30,129,2371
1686843191,16.70,129,2371
1686843192,23.50,129,2371
1686843193,41.20,129,2371
1686843195,22.30,129,2371
1686843196,22.30,129,2371
1686843197,23.60,129,2371
1686843199,35.40,129,2371
1686843200,23.60,129,2371
1686843201,47.50,129,2371
1686843202,33.50,129,2371
1686843204,58.90,129,2371
1686843205,16.70,129,2371
1686843206,22.30,129,2371
1686843207,11.10,129,2371
1686843209,39.00,129,2371
1686843210,17.70,129,2371
